benchmark_dir,name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
java/inlined-spec/scimark/,"kernel: double normabs(double[],double[])",26,1577,851,656,1676,729,890
java/inlined-spec/scimark/,"kernel: void CopyMatrix(double[][],double[][])",85,24656,23978,603,24788,836,1888
java/inlined-spec/scimark/,"kernel: double[] matvec(double[][],double[])",51,4190,3325,784,4293,832,1423
java/inlined-spec/scimark/,"kernel: void matvec(double[][],double[],double[])",44,8365,7512,773,8441,832,1421
java/inlined-spec/scimark/,"kernel: void init()",92,382,235,67,510,139,139
java/inlined-spec/scimark/,"kernel: void checkResults(java.lang.String,java.lang.String,int)",27,294,189,20,399,61,61
java/inlined-spec/scimark/,"Stopwatch: double seconds()",6,240,164,11,313,14,13
java/inlined-spec/scimark/,"Stopwatch: void reset()",11,227,156,6,300,17,17
java/inlined-spec/scimark/,"Stopwatch: void <init>()",13,231,159,6,307,21,21
java/inlined-spec/scimark/,"Stopwatch: void start()",17,251,167,15,341,33,32
java/inlined-spec/scimark/,"Stopwatch: void resume()",14,243,160,15,335,29,28
java/inlined-spec/scimark/,"Stopwatch: double stop()",22,263,174,21,357,42,39
java/inlined-spec/scimark/,"Stopwatch: double read()",25,270,177,24,363,48,44
java/uninlined-spec/compress/,"Compress: void <init>()",4,218,149,4,269,10,10
java/uninlined-spec/compress/,"Compress: OutputBuffer performAction(byte[],int,int,byte[])",29,260,177,16,361,49,49
java/uninlined-spec/compress/,"Harness: void <init>()",4,221,149,4,294,10,10
java/uninlined-spec/compress/,"Harness: void runCompress(int)",103,1364,797,479,1558,567,940
java/uninlined-spec/compress/,"Harness: long inst_main(int)",10,231,159,7,283,19,19
java/uninlined-spec/compress/,"Harness: void prepareBuffers()",40,1144,573,494,1255,289,779
java/inlined-spec/compress/,"Compress: void <init>()",4,211,142,4,261,10,10
java/inlined-spec/compress/,"Compress: OutputBuffer performAction(byte[],int,int,byte[])",2230,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE
java/inlined-spec/compress/,"Harness: void <init>()",4,222,151,4,295,10,10
java/inlined-spec/compress/,"Harness: void runCompress(int)",4564,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE
java/inlined-spec/compress/,"Harness: long inst_main(int)",4569,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE
java/inlined-spec/compress/,"Harness: void prepareBuffers()",40,1083,491,511,1185,290,783
