benchmark_dir,name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
java/polybench/linear-algebra/kernels/,"Mvt: void main(java.lang.String[])",56,294,199,26,389,79,79
java/polybench/linear-algebra/kernels/,"Doitgen: void <init>()",4,221,150,5,294,10,10
java/polybench/linear-algebra/kernels/,"Doitgen: void initArray(int,int,int,double[][][],double[][])",69,7759,7052,635,7840,890,1475
java/polybench/linear-algebra/kernels/,"Doitgen: void printArray(int,int,int,double[][][])",59,1931,1199,658,2092,1134,1108
java/polybench/linear-algebra/kernels/,"Doitgen: void kernelDoitgen(int,int,int,double[][][],double[][],double[])",69,1278,649,552,1447,359,1608
java/polybench/linear-algebra/kernels/,"Doitgen: void main(java.lang.String[])",56,313,217,23,408,78,78
java/polybench/linear-algebra/kernels/,"Atax: void <init>()",4,224,154,4,298,10,10
java/polybench/linear-algebra/kernels/,"Atax: void initArray(int,int,double[][],double[])",51,47839,47135,629,47956,948,1018
java/polybench/linear-algebra/kernels/,"Atax: void printArray(int,double[])",31,1971,1375,523,2079,785,763
java/polybench/linear-algebra/kernels/,"Atax: void kernelAtax(int,int,double[][],double[],double[],double[])",68,123228,122589,563,123367,567,1496
java/polybench/linear-algebra/kernels/,"Atax: void main(java.lang.String[])",52,292,197,24,388,78,78
java/polybench/linear-algebra/kernels/,"ThreeMM: void <init>()",4,224,153,4,298,10,10
java/polybench/linear-algebra/kernels/,"ThreeMM: void initArray(int,int,int,int,int,double[][],double[][],double[][],double[][])",134,2632,1844,707,2723,1170,1511
java/polybench/linear-algebra/kernels/,"ThreeMM: void printArray(int,int,double[][])",44,1513,848,590,1648,662,1081
java/polybench/linear-algebra/kernels/,"ThreeMM: void kernelThreeMM(int,int,int,int,int,double[][],double[][],double[][],double[][],double[][],double[][],double[][])",140,1486,905,497,1858,468,1860
java/polybench/linear-algebra/kernels/,"ThreeMM: void main(java.lang.String[])",85,323,216,30,421,95,95
java/polybench/linear-algebra/kernels/,"Bicg: void <init>()",4,224,156,4,298,10,10
